,strikeprice,liquidity,side
0,70.0,2094.0,calls
1,65.0,1189.0,calls
2,75.0,262.0,calls
3,60.0,6.9,calls
4,80.0,7.0,calls
5,55.0,1.0,calls
6,85.0,1.0,calls
7,50.0,2.0,calls
8,90.0,1.0,calls
9,45.0,1.0,calls
10,95.0,1.0,calls
11,40.0,1.0,calls
12,100.0,1.0,calls
13,35.0,32.83,calls
14,70.0,275.0,calls
15,65.0,96.0,calls
16,75.0,842.0,calls
17,60.0,43.0,calls
18,80.0,202.0,calls
19,55.0,14.5,calls
20,85.0,77.0,calls
21,50.0,17.34,calls
22,90.0,10.0,calls
23,45.0,1.0,calls
24,95.0,1.0,calls
25,40.0,2.0,calls
26,100.0,1.0,calls
27,105.0,1.0,calls
28,110.0,1.0,calls
29,70.0,113.0,calls
30,65.0,38.0,calls
31,75.0,403.0,calls
32,60.0,7.0,calls
33,80.0,321.0,calls
34,55.0,6.0,calls
35,85.0,47.0,calls
36,50.0,1.0,calls
37,90.0,19.0,calls
38,45.0,1.0,calls
39,95.0,10.0,calls
40,40.0,1.0,calls
41,100.0,1.0,calls
42,105.0,1.0,calls
43,110.0,1.0,calls
44,70.0,13.0,calls
45,65.0,29.0,calls
46,75.0,22.0,calls
47,60.0,1.0,calls
48,80.0,8.0,calls
49,55.0,1.0,calls
50,85.0,3.0,calls
51,50.0,1.0,calls
52,90.0,8.0,calls
53,45.0,1.0,calls
54,95.0,1.0,calls
55,40.0,1.0,calls
56,100.0,1.0,calls
57,35.0,1.0,calls
58,70.0,103.0,calls
59,65.0,191.0,calls
60,75.0,1.0,calls
61,60.0,172.0,calls
62,80.0,1.0,calls
63,55.0,63.0,calls
64,85.0,1.0,calls
65,50.0,86.0,calls
66,90.0,1.0,calls
67,45.0,1.0,calls
68,95.0,1.0,calls
69,40.0,1.0,calls
70,100.0,1.0,calls
71,35.0,1.0,calls
72,70.0,253.0,calls
73,65.0,213.0,calls
74,75.0,16.0,calls
75,60.0,126.0,calls
76,80.0,1.0,calls
77,55.0,126.0,calls
78,85.0,1.0,calls
79,50.0,53.0,calls
80,90.0,1.0,calls
81,45.0,38.0,calls
82,95.0,1.0,calls
83,40.0,10.0,calls
84,100.0,1.0,calls
85,105.0,1.0,calls
86,110.0,1.0,calls
87,70.0,15.0,calls
88,65.0,76.0,calls
89,75.0,11.0,calls
90,60.0,69.0,calls
91,80.0,1.0,calls
92,55.0,77.0,calls
93,85.0,1.0,calls
94,50.0,20.0,calls
95,90.0,1.0,calls
96,45.0,10.0,calls
97,95.0,1.0,calls
98,40.0,6.0,calls
99,100.0,1.0,calls
100,105.0,1.0,calls
101,110.0,1.0,calls
102,70.0,13.0,calls
103,65.0,1.0,calls
104,75.0,1.0,calls
105,60.0,26.0,calls
106,80.0,1.0,calls
107,55.0,23.0,calls
108,85.0,1.0,calls
109,50.0,1.0,calls
110,90.0,1.0,calls
111,45.0,1.0,calls
112,95.0,1.0,calls
113,40.0,1.0,calls
114,100.0,1.0,calls
115,35.0,1.0,calls
116,70.0,2094.0,puts
117,65.0,1189.0,puts
118,75.0,262.0,puts
119,60.0,6.9,puts
120,80.0,7.0,puts
121,55.0,1.0,puts
122,85.0,1.0,puts
123,50.0,2.0,puts
124,90.0,1.0,puts
125,45.0,1.0,puts
126,95.0,1.0,puts
127,40.0,1.0,puts
128,100.0,1.0,puts
129,35.0,32.83,puts
130,70.0,275.0,puts
131,65.0,96.0,puts
132,75.0,842.0,puts
133,60.0,43.0,puts
134,80.0,202.0,puts
135,55.0,14.5,puts
136,85.0,77.0,puts
137,50.0,17.34,puts
138,90.0,10.0,puts
139,45.0,1.0,puts
140,95.0,1.0,puts
141,40.0,2.0,puts
142,100.0,1.0,puts
143,105.0,1.0,puts
144,110.0,1.0,puts
145,70.0,113.0,puts
146,65.0,38.0,puts
147,75.0,403.0,puts
148,60.0,7.0,puts
149,80.0,321.0,puts
150,55.0,6.0,puts
151,85.0,47.0,puts
152,50.0,1.0,puts
153,90.0,19.0,puts
154,45.0,1.0,puts
155,95.0,10.0,puts
156,40.0,1.0,puts
157,100.0,1.0,puts
158,105.0,1.0,puts
159,110.0,1.0,puts
160,70.0,13.0,puts
161,65.0,29.0,puts
162,75.0,22.0,puts
163,60.0,1.0,puts
164,80.0,8.0,puts
165,55.0,1.0,puts
166,85.0,3.0,puts
167,50.0,1.0,puts
168,90.0,8.0,puts
169,45.0,1.0,puts
170,95.0,1.0,puts
171,40.0,1.0,puts
172,100.0,1.0,puts
173,35.0,1.0,puts
174,70.0,103.0,puts
175,65.0,191.0,puts
176,75.0,1.0,puts
177,60.0,172.0,puts
178,80.0,1.0,puts
179,55.0,63.0,puts
180,85.0,1.0,puts
181,50.0,86.0,puts
182,90.0,1.0,puts
183,45.0,1.0,puts
184,95.0,1.0,puts
185,40.0,1.0,puts
186,100.0,1.0,puts
187,35.0,1.0,puts
188,70.0,253.0,puts
189,65.0,213.0,puts
190,75.0,16.0,puts
191,60.0,126.0,puts
192,80.0,1.0,puts
193,55.0,126.0,puts
194,85.0,1.0,puts
195,50.0,53.0,puts
196,90.0,1.0,puts
197,45.0,38.0,puts
198,95.0,1.0,puts
199,40.0,10.0,puts
200,100.0,1.0,puts
201,105.0,1.0,puts
202,110.0,1.0,puts
203,70.0,15.0,puts
204,65.0,76.0,puts
205,75.0,11.0,puts
206,60.0,69.0,puts
207,80.0,1.0,puts
208,55.0,77.0,puts
209,85.0,1.0,puts
210,50.0,20.0,puts
211,90.0,1.0,puts
212,45.0,10.0,puts
213,95.0,1.0,puts
214,40.0,6.0,puts
215,100.0,1.0,puts
216,105.0,1.0,puts
217,110.0,1.0,puts
218,70.0,13.0,puts
219,65.0,1.0,puts
220,75.0,1.0,puts
221,60.0,26.0,puts
222,80.0,1.0,puts
223,55.0,23.0,puts
224,85.0,1.0,puts
225,50.0,1.0,puts
226,90.0,1.0,puts
227,45.0,1.0,puts
228,95.0,1.0,puts
229,40.0,1.0,puts
230,100.0,1.0,puts
231,35.0,1.0,puts
