,strikeprice,liquidity,side
0,7580.0,1898.0,calls
1,7585.0,753.0,calls
2,7575.0,2098.0,calls
3,7590.0,1702.0,calls
4,7570.0,549.0,calls
5,7595.0,646.0,calls
6,7565.0,432.0,calls
7,7600.0,4269.0,calls
8,7560.0,685.0,calls
9,7605.0,303.0,calls
10,7555.0,476.0,calls
11,7610.0,642.0,calls
12,7550.0,4308.0,calls
13,7615.0,509.0,calls
14,7545.0,316.0,calls
15,7620.0,650.0,calls
16,7540.0,1837.0,calls
17,7625.0,3444.0,calls
18,7535.0,715.0,calls
19,7630.0,1021.0,calls
20,7530.0,754.0,calls
21,7635.0,409.0,calls
22,7525.0,1498.0,calls
23,7640.0,1624.0,calls
24,7520.0,463.0,calls
25,7645.0,470.0,calls
26,7515.0,197.0,calls
27,7650.0,3570.0,calls
28,7510.0,948.0,calls
29,7655.0,724.0,calls
30,7505.0,249.0,calls
31,7660.0,1632.0,calls
32,7500.0,3503.0,calls
33,7665.0,410.0,calls
34,7495.0,352.0,calls
35,7670.0,4901.0,calls
36,7490.0,1158.0,calls
37,7675.0,1630.0,calls
38,7485.0,319.0,calls
39,7680.0,598.0,calls
40,7480.0,599.0,calls
41,7685.0,355.0,calls
42,7475.0,938.0,calls
43,7690.0,1277.0,calls
44,7470.0,411.0,calls
45,7695.0,480.0,calls
46,7465.0,286.0,calls
47,7700.0,2644.0,calls
48,7460.0,434.0,calls
49,7705.0,553.0,calls
50,7455.0,204.0,calls
51,7710.0,1339.0,calls
52,7450.0,1929.0,calls
53,7715.0,410.0,calls
54,7445.0,63.0,calls
55,7720.0,655.0,calls
56,7440.0,472.0,calls
57,7725.0,1197.0,calls
58,7435.0,501.0,calls
59,7730.0,1107.0,calls
60,7430.0,483.0,calls
61,7735.0,820.0,calls
62,7425.0,1005.0,calls
63,7740.0,1441.0,calls
64,7420.0,253.0,calls
65,7745.0,757.0,calls
66,7415.0,225.0,calls
67,7750.0,1907.0,calls
68,7410.0,570.0,calls
69,7755.0,490.0,calls
70,7405.0,177.0,calls
71,7760.0,973.0,calls
72,7400.0,1756.0,calls
73,7765.0,299.0,calls
74,7395.0,272.0,calls
75,7770.0,625.0,calls
76,7390.0,400.0,calls
77,7775.0,872.0,calls
78,7385.0,80.0,calls
79,7780.0,1321.0,calls
80,7380.0,218.0,calls
81,7785.0,290.0,calls
82,7375.0,945.0,calls
83,7790.0,539.0,calls
84,7370.0,248.0,calls
85,7795.0,1.0,calls
86,7365.0,66.0,calls
87,7800.0,3713.0,calls
88,7360.0,231.0,calls
89,7805.0,1.0,calls
90,7355.0,91.0,calls
91,7810.0,489.0,calls
92,7350.0,958.0,calls
93,7345.0,98.0,calls
94,7820.0,337.0,calls
95,7340.0,347.0,calls
96,7825.0,651.0,calls
97,7335.0,40.0,calls
98,7830.0,340.0,calls
99,7330.0,298.0,calls
100,7325.0,1228.0,calls
101,7840.0,250.0,calls
102,7320.0,264.0,calls
103,7315.0,62.0,calls
104,7850.0,844.0,calls
105,7310.0,222.0,calls
106,7305.0,19.0,calls
107,7860.0,242.0,calls
108,7300.0,2282.0,calls
109,7295.0,22.0,calls
110,7870.0,195.0,calls
111,7290.0,458.0,calls
112,7875.0,280.0,calls
113,7285.0,15.0,calls
114,7880.0,37.0,calls
115,7280.0,105.0,calls
116,7275.0,126.0,calls
117,7890.0,187.0,calls
118,7270.0,140.0,calls
119,7265.0,172.0,calls
120,7900.0,6279.0,calls
121,7260.0,393.0,calls
122,7255.0,155.0,calls
123,7910.0,19.0,calls
124,7250.0,1214.0,calls
125,7245.0,54.0,calls
126,7920.0,102.0,calls
127,7240.0,67.0,calls
128,7925.0,101.0,calls
129,7235.0,38.0,calls
130,7930.0,26.0,calls
131,7230.0,117.0,calls
132,7225.0,311.0,calls
133,7940.0,7.0,calls
134,7220.0,39.0,calls
135,7215.0,33.0,calls
136,7950.0,860.0,calls
137,7210.0,92.0,calls
138,7205.0,27.0,calls
139,7960.0,1.0,calls
140,7200.0,752.0,calls
141,7195.0,57.0,calls
142,7970.0,501.0,calls
143,7190.0,175.0,calls
144,7975.0,31.0,calls
145,7185.0,1.0,calls
146,7980.0,1.0,calls
147,7180.0,32.0,calls
148,7175.0,185.0,calls
149,7990.0,1.0,calls
150,7170.0,44.0,calls
151,7165.0,2.0,calls
152,8000.0,766.0,calls
153,7160.0,47.0,calls
154,7155.0,2.0,calls
155,8010.0,1.0,calls
156,7150.0,186.0,calls
157,7145.0,3.0,calls
158,8020.0,1.0,calls
159,7140.0,50.0,calls
160,8025.0,419.0,calls
161,7135.0,32.0,calls
162,8030.0,1.0,calls
163,7130.0,76.0,calls
164,7125.0,80.0,calls
165,7120.0,34.0,calls
166,7115.0,1.0,calls
167,8050.0,511.0,calls
168,7110.0,257.0,calls
169,7105.0,2.0,calls
170,7100.0,443.0,calls
171,7095.0,6.0,calls
172,7090.0,29.0,calls
173,8075.0,106.0,calls
174,7085.0,4.0,calls
175,7080.0,23.0,calls
176,7075.0,102.0,calls
177,7070.0,6.0,calls
178,7065.0,520.12,calls
179,8100.0,325.0,calls
180,7060.0,97.0,calls
181,7055.0,2.0,calls
182,7050.0,214.0,calls
183,7045.0,1.0,calls
184,7040.0,7.0,calls
185,8125.0,48.0,calls
186,7035.0,6.0,calls
187,7030.0,22.0,calls
188,7025.0,44.0,calls
189,7020.0,26.0,calls
190,8150.0,63.0,calls
191,7010.0,28.0,calls
192,7000.0,1618.0,calls
193,6990.0,10.0,calls
194,8175.0,15.0,calls
195,6980.0,10.0,calls
196,6975.0,17.0,calls
197,6970.0,2.0,calls
198,8200.0,70.0,calls
199,6960.0,33.0,calls
200,6950.0,60.0,calls
201,6940.0,8.0,calls
202,8225.0,1.0,calls
203,6930.0,50.0,calls
204,6925.0,31.0,calls
205,6920.0,55.0,calls
206,8250.0,2.0,calls
207,6910.0,120.0,calls
208,6900.0,676.0,calls
209,6890.0,12.0,calls
210,8275.0,1.0,calls
211,6880.0,10.0,calls
212,6875.0,17.0,calls
213,6870.0,7.0,calls
214,8300.0,15.0,calls
215,6860.0,6.0,calls
216,6850.0,352.0,calls
217,6840.0,14.0,calls
218,8325.0,1.0,calls
219,6830.0,10.0,calls
220,6825.0,25.0,calls
221,6820.0,7.0,calls
222,6810.0,10.0,calls
223,6800.0,48.0,calls
224,6790.0,3.0,calls
225,6780.0,13.0,calls
226,6775.0,17.0,calls
227,6770.0,6.0,calls
228,8400.0,32.0,calls
229,6760.0,3.0,calls
230,6750.0,13.0,calls
231,6740.0,1.0,calls
232,6730.0,1.0,calls
233,6725.0,13.0,calls
234,6720.0,1.0,calls
235,6710.0,3.0,calls
236,6700.0,40.0,calls
237,6690.0,2.0,calls
238,6680.0,1.0,calls
239,6675.0,4.0,calls
240,6670.0,8.0,calls
241,8500.0,1.0,calls
242,6660.0,11.0,calls
243,6650.0,2.0,calls
244,6640.0,3.0,calls
245,6630.0,1.0,calls
246,6625.0,4.0,calls
247,6620.0,1.0,calls
248,6610.0,3.0,calls
249,6600.0,12.0,calls
250,6590.0,1.0,calls
251,6580.0,1.0,calls
252,6575.0,1.0,calls
253,6570.0,1.0,calls
254,8600.0,16.0,calls
255,6560.0,3.0,calls
256,6550.0,1.0,calls
257,6540.0,1.0,calls
258,6530.0,1.0,calls
259,6525.0,3.0,calls
260,6520.0,126.0,calls
261,6510.0,10.0,calls
262,6500.0,193.0,calls
263,6490.0,2.0,calls
264,6480.0,4.0,calls
265,6475.0,1.0,calls
266,6470.0,1.0,calls
267,6460.0,2.0,calls
268,6450.0,3.0,calls
269,6440.0,1.0,calls
270,6430.0,1.0,calls
271,6425.0,1.0,calls
272,6420.0,3.0,calls
273,6410.0,1049.58,calls
274,6400.0,5.0,calls
275,6375.0,1.0,calls
276,8800.0,332.0,calls
277,6350.0,1.0,calls
278,6325.0,1.0,calls
279,6300.0,1.0,calls
280,6275.0,1.0,calls
281,6250.0,1.0,calls
282,6225.0,1.0,calls
283,6200.0,4.0,calls
284,6175.0,4.0,calls
