,strikeprice,liquidity,side
0,756.0,133.0,calls
1,757.0,70.0,calls
2,755.0,555.0,calls
3,758.0,26.0,calls
4,754.0,1.0,calls
5,759.0,3.0,calls
6,753.0,5.0,calls
7,760.0,715.0,calls
8,752.0,2.0,calls
9,761.0,17.0,calls
10,751.0,24.0,calls
11,762.0,15.0,calls
12,750.0,1717.0,calls
13,763.0,12.0,calls
14,749.0,1.0,calls
15,764.0,29.0,calls
16,748.0,28.68,calls
17,765.0,823.0,calls
18,747.0,1.0,calls
19,766.0,3.0,calls
20,746.0,2.0,calls
21,767.0,32.0,calls
22,745.0,1579.0,calls
23,768.0,6.0,calls
24,744.0,2.0,calls
25,769.0,25.0,calls
26,743.0,1.0,calls
27,770.0,629.0,calls
28,742.0,1.0,calls
29,771.0,17.0,calls
30,741.0,1.0,calls
31,772.0,10.0,calls
32,740.0,1961.0,calls
33,773.0,1.0,calls
34,739.0,1.0,calls
35,774.0,4.0,calls
36,738.0,1.0,calls
37,775.0,705.0,calls
38,737.0,2.0,calls
39,776.0,1.0,calls
40,736.0,3.0,calls
41,777.0,1.0,calls
42,735.0,435.0,calls
43,778.0,1.0,calls
44,734.0,1.0,calls
45,779.0,1.0,calls
46,733.0,1.0,calls
47,780.0,1082.0,calls
48,732.0,1.0,calls
49,781.0,5.0,calls
50,731.0,1.0,calls
51,782.0,1.0,calls
52,730.0,1138.0,calls
53,783.0,1.0,calls
54,729.0,1.0,calls
55,784.0,1.0,calls
56,728.0,5.0,calls
57,785.0,860.0,calls
58,727.0,3.0,calls
59,786.0,25.0,calls
60,726.0,1.0,calls
61,787.0,223.0,calls
62,725.0,2123.0,calls
63,788.0,27.0,calls
64,724.0,1.0,calls
65,789.0,19.0,calls
66,723.0,1.0,calls
67,790.0,269.0,calls
68,722.0,1.0,calls
69,791.0,160.0,calls
70,721.0,1.0,calls
71,792.0,10.0,calls
72,720.0,993.0,calls
73,793.0,4.0,calls
74,719.0,86.0,calls
75,794.0,11.0,calls
76,718.0,39.0,calls
77,795.0,1233.0,calls
78,717.0,29.0,calls
79,796.0,1.0,calls
80,716.0,647.0,calls
81,797.0,18600.0,calls
82,715.0,157.0,calls
83,798.0,1.0,calls
84,714.0,773.0,calls
85,799.0,13.0,calls
86,713.0,153.0,calls
87,800.0,774.0,calls
88,712.0,173.0,calls
89,711.0,519.0,calls
90,710.0,915.0,calls
91,709.0,445.0,calls
92,708.0,121.0,calls
93,805.0,233.0,calls
94,707.0,155.0,calls
95,706.0,90.0,calls
96,705.0,248.0,calls
97,704.0,42.0,calls
98,703.0,155.0,calls
99,810.0,1110.0,calls
100,702.0,128.0,calls
101,701.0,191.0,calls
102,700.0,3188.0,calls
103,699.0,13.0,calls
104,698.0,21.0,calls
105,815.0,115.0,calls
106,697.0,75.0,calls
107,696.0,79.0,calls
108,695.0,239.0,calls
109,694.0,46.0,calls
110,693.0,131.0,calls
111,820.0,387.0,calls
112,692.0,74.0,calls
113,691.0,35.0,calls
114,690.0,1604.0,calls
115,689.0,29.0,calls
116,688.0,32.0,calls
117,825.0,1143.0,calls
118,687.0,37.0,calls
119,686.0,86.0,calls
120,685.0,558.0,calls
121,684.0,20.0,calls
122,683.0,409.0,calls
123,830.0,698.0,calls
124,682.0,109.0,calls
125,681.0,234.0,calls
126,680.0,858.0,calls
127,679.0,326.0,calls
